reaction_split,split_type,split_level,Symptom_ID,Symptom,Observation,Hypothesis,Experiment,additional_details,representative_entries,source_json,n_entries
Carbamate Schotten-Baumann,reaction_class,3,2,Temperature spike (exotherm),"Rapid temperature rise (often >30 °C within minutes) upon addition of a reagent (e.g., isocyanate, chlorosulfonyl isocyanate, BocX) - sometimes exceeding the set-point and causing overheating.","temperature_setpoint_or_temperature_ramp_optimization, batch_to_flow_or_flow_process_implementation, improved_heat_transfer_or_temperature_control_hardware - controlling addition rate, using low-temperature feeds, or moving to a plug-flow reactor with high surface-to-volume ratio mitigates the exotherm.",A semi-batch addition profile was programmed: the exothermic reagent was fed over 2 h while the reactor temperature was held at 5 °C (jacket). Parallel flow experiments used a 0.5 L PFR with a 30 s residence time and a 0 °C jacket. Both approaches kept the bulk temperature <=10 °C and eliminated product degradation.,"The severity scales with reagent concentration; dilute feeds (<=0.5 M) are preferred. For very fast exotherms (CSI, BocX) a micro-reactor is often the only safe option.","1412, 4544, 20927, 13098, 13323, 4545, 4547, 4546",scaleup_generalized_workflow_reaction_class_Carbamate_Schotten-Baumann_runreaction_class_r21.json,121
Carbamate Schotten-Baumann,reaction_class,3,3,Mixing-limited slurry / hot-spot,"Formation of a thick, pasty slurry or solid deposits that cling to the reactor wall, accompanied by uneven stirring and localized ""hot-spots"".","change_of_additive, improved_mixing_or_impeller_design, phase_behavior_or_biphasic_system_optimization - adding a static mixer, using a peristaltic pump with a viscous-solvent kit, or pre-heating the viscous feed to lower viscosity resolves the mixing limitation.","A Kenics static mixer was installed in the feed line of the HDIT/MEKO reaction; the HDIT feed was pre-heated to 75 °C to drop viscosity below 500 mPa.s. The slurry remained fluid, temperature remained uniform, and conversion reached >95 % with no pressure drop.",The symptom is aggravated when the product viscosity exceeds 10 000 mPa.s. Short residence-time reactors (PFR) are preferred for such highly viscous streams.,"20927, 20928, 20929, 4544, 4545, 4546, 4547",scaleup_generalized_workflow_reaction_class_Carbamate_Schotten-Baumann_runreaction_class_r21.json,121
Carbamate Schotten-Baumann,reaction_class,3,4,Gas evolution (HCl/CO₂),"Visible gas evolution (bubbling, pressure increase) when a chloro-formate or isocyanate is added; occasional detection of HCl or CO₂ in the vent stream.","change_of_primary_reagent, condition_change_to_reduce_or_remove_process_hazard, improved_quench_or_neutralization - replacing the hazardous gas-generating reagent with a safer alternative (e.g., potassium cyanate instead of tert-butyl isocyanate) or adding an acid scavenger (pyridine, lutidine) and venting through a scrubber eliminates the hazard.","A comparative run substituted Cbz-Cl with Fmoc-Cl (lower HCl release) and introduced pyridine (2 eq) as an HCl scavenger. Gas-flow meters showed a >90 % reduction in HCl evolution, and the reaction proceeded with identical conversion.","When the gas is unavoidable (e.g., Boc-protection), the addition must be temperature-controlled (<=30 °C) and vent lines equipped with alkaline scrubbers.","19819, 13098, 14825, 14826",scaleup_generalized_workflow_reaction_class_Carbamate_Schotten-Baumann_runreaction_class_r21.json,121
Carbamate Schotten-Baumann,reaction_class,3,5,pH drift -> over-acylation,"When the aqueous pH is above the target (e.g., pH 11 instead of pH 9), a significant amount (~5-10 %) of a symmetrical over-acylated urea or bis-acyl impurity appears.","optimization_of_acid_or_base_stoichiometry, optimization_of_acid_or_base_stoichiometry - tightening the buffer system (phosphate buffer at pH 9) and limiting base equivalents (NaHCO₃ 2.5 eq) keeps the reaction in the optimal pH window, suppressing over-acylation.",A DoE varying K₂HPO₄ concentration and KOH addition was performed on a 20 L batch. The optimal condition (pH 9 ± 0.2) reduced impurity 34 from 9 % to <0.2 % while maintaining >99 % conversion.,The symptom is more acute for highly nucleophilic amines and when the electrophile is a highly reactive chloroformate. Real-time pH monitoring with an inline probe is recommended for large scale.,"1968, 1969, 1970",scaleup_generalized_workflow_reaction_class_Carbamate_Schotten-Baumann_runreaction_class_r21.json,121
Carboxylic acid + amine condensation,reaction_class,3,1,Viscous slurry,"The reaction mixture becomes a thick, highly viscous slurry that is difficult to stir or pump.","improved_mixing_or_impeller_design, solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition - upgrading impeller speed or geometry and/or switching to a higher-solubility solvent/co-solvent reduces viscosity and restores homogeneous mixing.","Conduct a DoE varying impeller speed (100 -> 1200 rpm) and solvent composition (e.g., adding 10 % v/v DMSO or NMP to the original aqueous/organic system). Measure slurry viscosity, conversion, and filtration time at pilot scale. Select the combination that yields a low-viscosity, fully mixed slurry with >= 95 % conversion.","Viscosity often rises when the amine is present as a salt or when the reaction is run at high substrate concentration. Adding a small amount of a polar aprotic co-solvent (DMSO, NMP) or a low-boiling organic solvent (2-MeTHF) can dramatically lower the slurry's resistance to stirring without compromising downstream work-up.","12261, 718, 17242",scaleup_generalized_workflow_reaction_class_Carboxylic_acid_+_amine_condensation_runreaction_class_r3.json,250
Carboxylic acid + amine condensation,reaction_class,3,2,Temperature spike on reagent addition,"A rapid, uncontrolled rise in reaction temperature (10-20 °C) occurs when a base or nucleophile is added (e.g., during amine addition).","temperature_setpoint_or_temperature_ramp_optimization, improved_heat_transfer_or_temperature_control_hardware - applying a controlled, slower addition profile and/or upgrading the jacket/heat-exchange hardware keeps the temperature within the safe window.","Implement a semi-batch feed where the amine solution is added over 30 min while monitoring temperature with an inline probe. Compare a standard addition (instant) versus a ramped addition (0 -> 30 min) and evaluate conversion, impurity profile, and temperature excursions. If needed, install a higher-capacity heat-exchanger and repeat the test.","The magnitude of the spike correlates with the stoichiometric excess of the base and the heat capacity of the solvent. Using a lower-boiling, higher-heat-capacity solvent (e.g., MeCN) or diluting the base in a larger volume can also dampen the temperature rise.","4119, 10684",scaleup_generalized_workflow_reaction_class_Carboxylic_acid_+_amine_condensation_runreaction_class_r3.json,250
Carboxylic acid + amine condensation,reaction_class,3,3,"Sudden impurity surge (over-alkylation, dimer, N-acylurea)","A new impurity (e.g., over-alkylated amide, dimer, or N-acylurea) appears at >= 0.5 % and grows rapidly as the scale increases.","optimization_of_reagent_stoichiometry, change_of_additive, change_of_base - tightening the equivalents of amine/reagent, adjusting the addition sequence, or switching to a less nucleophilic base suppresses the competing pathway.","Run a series of small-scale trials varying (i) amine equivalents (0.9 -> 1.2 eq), (ii) base identity (triethylamine, DIPEA, potassium carbonate), and (iii) addition order (base -> acid -> amine vs. simultaneous). Analyze impurity levels by LC-MS. Scale the optimal condition to pilot batch and confirm impurity suppression.","Impurities often arise from carbodiimide activation (e.g., formation of N-acylurea) or from excess amine driving over-alkylation. Using a staged addition of the amine or employing a less nucleophilic inorganic base can dramatically reduce these by-products.","6039, 2039, 20314",scaleup_generalized_workflow_reaction_class_Carboxylic_acid_+_amine_condensation_runreaction_class_r3.json,250
Carboxylic acid + amine condensation,reaction_class,3,4,Clogging or flow instability in continuous reactors,"During continuous-flow operation the reactor experiences pressure spikes, pump trips, or solid bridging, leading to flow interruption.","clogging_or_fouling_mitigation, custom_or_novel_reactor_design, improved_mixing_or_impeller_design - redesigning the mixer (e.g., V-shaped micro-mixer), increasing tubing diameter, or adding inline filtration mitigates blockage.","Compare three reactor configurations: (i) standard PFA tubing (1 mm ID), (ii) larger-ID tubing (2 mm), and (iii) a custom V-shaped static mixer. Run the same reaction at identical residence time while monitoring pressure, flow rate, and product quality. Select the configuration that eliminates pressure excursions and maintains conversion.","Clogging is especially prevalent with reactions that generate insoluble salts (e.g., acid-base neutralizations) or when the product precipitates during the reaction. Adding a co-solvent to keep the product in solution or installing a periodic solvent-flush cycle can also prevent fouling.","15588, 14938, 14940",scaleup_generalized_workflow_reaction_class_Carboxylic_acid_+_amine_condensation_runreaction_class_r3.json,250
Carboxylic acid + amine condensation,reaction_class,3,5,Precipitation on cooling / filtration bottleneck,"After reaction completion the mixture forms a fine solid or slurry that is difficult to filter; filtration rates drop below 10 L min⁻¹, and wet cake weight is excessive.","improved_quench_or_neutralization, solvent_change_for_solubility, drying_or_isolation_process_optimization - adjusting the quench to keep the product in solution, switching to a solvent that gives a filter-friendly precipitate, or employing a controlled crystallisation/filtration protocol resolves the bottleneck.","Screen a set of antisolvents (e.g., IPA, EtOAc, MeCN) and temperatures (0 -> 25 °C) to identify conditions that produce a free-flowing crystalline solid. Perform a small-scale filtration test to measure cake permeability and moisture content. Implement the optimal quench/solvent system at pilot scale and compare filtration time and product recovery.",Often the issue stems from residual water after acidification (as in entry 4116) or from a product that is only sparingly soluble in the reaction solvent. Adding a co-solvent or performing a solvent swap before work-up can dramatically improve filterability.,"4116, 718, 4119",scaleup_generalized_workflow_reaction_class_Carboxylic_acid_+_amine_condensation_runreaction_class_r3.json,250
Chlorination,reaction_class,3,1,Temperature spikes,"Sudden, uncontrolled rise in reactor temperature (often >30 °C within minutes) during reagent addition or quench.","temperature_setpoint_or_temperature_ramp_optimization, improved_heat_transfer_or_temperature_control_hardware, custom_or_novel_reactor_design - lower the addition temperature, improve jacket/coil heat removal, or move to a flow reactor that dissipates heat continuously.","Performed a DoE on addition temperature, addition rate, and jacket coolant flow. Implemented a syringe-pump addition of POCl₃ (or SO₂Cl₂) over 15 min while maintaining the reactor at -20 °C (or <=40 °C for POCl₃). In parallel, installed a high-efficiency jacket with internal coils (for batch) and a 0.030 in. PFA coil with 75 psi back-pressure (for flow). Monitored adiabatic temperature rise with calorimetry; the maximum ΔT dropped from >100 °C to <5 °C.","The symptom is more pronounced when reagents are added in a single charge; staged or split-charge addition is often sufficient. For POCl₃-based reactions, a controlled quench with buffered aqueous solution (K₂HPO₄/K₂CO₃) further limits exotherm.","15575, 8335, 10504, 13708",scaleup_generalized_workflow_reaction_class_Chlorination_runreaction_class_r18.json,139
Chlorination,reaction_class,3,2,Gas-evolution / pressure spikes,"Rapid generation of gaseous HCl, SO₂, or Cl₂ leads to a rise in reactor head-space pressure; bubbling or venting is observed, sometimes causing vent-line over-pressure alarms.","pressure_or_gas_headspace_optimization, gas_evolution_or_mass_transfer_management - use back-pressure regulators, gas-scrubbing loops, or design reactors that keep the gas dissolved (e.g., high-pressure flow coils).","Installed a 8 bar back-pressure regulator on the EtOAc flow coil (α-thioamide/NCS cascade) and a sealed Hastelloy autoclave for POCl₃-mediated chlorinations. Added a drying/scrubbing bottle (conc. H₂SO₄) upstream of the reactor for Cl₂ feeds. Measured pressure profiles before and after; pressure excursions were eliminated and gas-liquid mass transfer improved, giving >85 % conversion.","When using solid chlorinating agents (NCS, DCDMH) the gas-evolution issue is mitigated; however, for gas-phase chlorinations (Cl₂) a dedicated surge-volume and check-valve are essential to avoid back-flow.","15575, 16180, 16181, 16182, 17659",scaleup_generalized_workflow_reaction_class_Chlorination_runreaction_class_r18.json,139
Chlorination,reaction_class,3,3,Poor solubility / slurry formation,"Formation of heterogeneous suspensions or viscous slurries that are difficult to stir, cause pump blockages, or lead to uneven temperature distribution.","solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition, improved_mixing_or_impeller_design - switch to a higher-solubility solvent (e.g., sulfolane, MeCN, DMF) or add a co-solvent; redesign impeller or use high-shear mixing to keep solids in suspension.","Screened solvents for pyrimidinone 3 (entries 4964/4966/4967) and identified sulfolane as fully dissolving both substrate and product. Implemented a 2 : 1 (v/v) 2-MeTHF/DME co-solvent system for the TMSCl-mediated chlorination (entry 7633) to achieve a stable biphasic mixture with Dₘ ~ 260. In flow, added a high-shear impeller to a 5 L stirred tank; slurry clearance time dropped from >30 min to <5 min, and residence-time distribution became uniform.","When solubility cannot be fully achieved, limiting concentration (<=0.4 M) and using a downstream precipitation step can prevent solid buildup. For solid-forming intermediates, a rapid quench into water can lock the product out of solution.","21281, 21280, 21279, 4964, 4966",scaleup_generalized_workflow_reaction_class_Chlorination_runreaction_class_r18.json,139
Chlorination,reaction_class,3,4,Unstable intermediate decomposition,"Rapid loss of the desired chlorinated intermediate (e.g., benzylic chloride 2, chloro-oxime 7) back to the starting material or to degradation products when held at elevated temperature or exposed to moisture.","optimization_of_quench_or_neutralization, change_of_primary_reagent, optimization_of_reagent_stoichiometry - quench immediately at low temperature with buffered aqueous media; replace highly unstable reagents (e.g., SOCl₂) with milder alternatives (POCl₃); adjust stoichiometry to avoid excess that drives decomposition.","For the benzylic chloride 2 (entries 10504/10503) performed precipitation at 0 °C with water as antisolvent and reduced the reaction temperature to 0 °C during work-up, preventing hydrolysis. Replaced SOCl₂ with POCl₃ for the quinazoline chlorination (entries 21347/21350) and limited POCl₃ to 2 equiv, which eliminated the need for >20 equiv and reduced impurity formation. Conducted a time-course study showing >90 % stability of the chloro-oxime when kept at <=20 °C in DMF.","Immediate telescoping of the unstable intermediate into the next step (e.g., coupling) is often the most robust solution. Buffer pH control (4-5) during quench avoids acid-catalyzed degradation.","10504, 21347, 10503, 14292",scaleup_generalized_workflow_reaction_class_Chlorination_runreaction_class_r18.json,139
Chlorination,reaction_class,3,5,Variable conversion due to addition order / feed profile,"Irreproducible assay yields and induction periods when a solid chlorinating agent (e.g., NCS, DCDMH) is added in a single charge; conversion depends on temperature or mixing speed.","change_of_addition_order_or_feed_profile, optimization_of_reagent_stoichiometry - add the solid in multiple, temperature-controlled portions; use a fed-batch or continuous-flow feed to maintain a steady concentration; adjust stoichiometry to the minimum required for full conversion.","Implemented a split-charge addition for NCS in the α-thioamide flow cascade (entries 15573/15574/15575). Compared single-charge (<=30 % conversion) vs. three-portion addition (>=85 % conversion). For DCDMH chlorinations (entries 1374/1375) introduced a three-portion, -5 °C addition, which reduced the des-TMS impurity from 5 % to <=0.2 %. Conducted a DoE varying feed ratio and temperature, confirming optimal NCS equivalents of 2.05-2.1 equiv.",Temperature control during each addition is critical; a pre-heated substrate solution (55-60 °C) can eliminate induction periods for poorly soluble reagents like NCS in DMF.,"9692, 9695, 15573, 15574, 1374",scaleup_generalized_workflow_reaction_class_Chlorination_runreaction_class_r18.json,139
Ester hydrolysis,reaction_class,3,1,Exothermic neutralisation spikes,Sudden temperature rise (>= 5-10 °C) when the basic saponification mixture is quenched with aqueous acid.,"temperature_setpoint_or_temperature_ramp_optimization - slow acid addition, external cooling, and temperature-controlled quench mitigate the exotherm and keep the reaction within safe limits.","A design-of-experiments (DoE) study varied acid addition rate (dropwise vs. pump), jacket temperature, and quench temperature. The optimal condition was a controlled acid feed (<= 0.5 m L min⁻¹) into a jacket-cooled reactor (10 °C set-point), which limited the temperature spike to < 3 °C and eliminated product degradation.",The symptom is most acute when neutralising highly concentrated NaOH/KOH solutions (>= 30 % w/w). Monitoring the temperature rise in-line (RTD) is essential for early detection.,"444, 894, 1690",scaleup_generalized_workflow_reaction_class_Ester_hydrolysis_runreaction_class_r11.json,250
Ester hydrolysis,reaction_class,3,2,Poor mixability / mass-transfer limitation in biphasic systems,Incomplete conversion or dramatically prolonged reaction times when the reaction mixture is biphasic (organic / aqueous) and agitation appears insufficient.,"phase_behavior_or_biphasic_system_optimization, solvent_change_for_solubility, and improved_mixing_or_impeller_design - convert to a single-phase system, add a co-solvent, or redesign agitation to enhance mass transfer.","Screened co-solvents (MeTHF, MeOH, MeCN) to achieve a homogeneous phase; the best result was 10 % v/v MeOH in THF, giving a single-phase slurry and full conversion in 2 h. Parallelly, a high-shear impeller was installed in a 200 L reactor, reducing the required residence time from 24 h to 6 h.","The symptom often appears together with foaming (see Symptom 4) because vigorous mixing can entrain gas. Real-time phase-ratio monitoring (e.g., inline NIR) helps verify homogeneity.","9809, 442",scaleup_generalized_workflow_reaction_class_Ester_hydrolysis_runreaction_class_r11.json,250
Ester hydrolysis,reaction_class,3,3,"Slurry formation, high viscosity, or solid precipitation during/after hydrolysis","The reaction mixture becomes a thick, non-flowing slurry or a highly viscous suspension, leading to poor pumpability, high pressure drop, or difficulty in filtration.","solvent_change_for_solubility, improved_mixing_or_impeller_design, and crystallization_solvent_or_antisolvent_optimization - select solvents that keep the reacting species in solution, dilute with a low-viscosity co-solvent, or employ antisolvent precipitation to control solid formation.","Replaced IPA (~ 50 vol %) with isopropyl acetate (10 vol %) and added a small amount of isopropanol to lower viscosity (Symptom 2). A controlled cooling crystallisation (40 °C -> 15 °C) was introduced to precipitate the product as a filterable solid, reducing filtration pressure by 70 %.",Viscosity issues are amplified at higher substrate concentrations; a balance between concentration (throughput) and manageable slurry rheology must be struck.,"6801, 892, 4360, 21854, 896",scaleup_generalized_workflow_reaction_class_Ester_hydrolysis_runreaction_class_r11.json,250
Ester hydrolysis,reaction_class,3,4,"Formation of side-products or impurities (e.g., bis-acid, N-alkylated species, racemisation)","Detectable levels of undesired impurities (>= 0.5 % LC) such as bis-acid 6', N-alkylated by-products, or racemised chiral centres appear in the crude material.","improved_impurity_purge_or_byproduct_control, change_of_base, solvent_change_to_reduce_side_products, and optimization_of_reagent_stoichiometry - adjust base identity/strength, lower temperature, change solvent to drive equilibrium away from side reactions, and fine-tune equivalents.","A DoE varying base (LiOH vs. NaOH/KOH), temperature (0 °C -> 25 °C), and solvent (MeOH, EtOH, DMF) showed that LiOH in MeOH at 0 °C suppressed bis-acid formation to < 0.1 % and eliminated N-alkylation. The optimal stoichiometry (2 equiv LiOH) was then fixed for scale-up.",Impurity profiles should be monitored by in-process HPLC/LC-MS; early detection enables rapid adjustment of the above parameters before large batches are run.,"2302, 2608",scaleup_generalized_workflow_reaction_class_Ester_hydrolysis_runreaction_class_r11.json,250
Ester hydrolysis,reaction_class,3,5,Temperature-sensitive decomposition or racemisation of chiral esters,Loss of stereochemical integrity (ee drops from > 96 % to < 40 %) or degradation of labile functional groups when the hydrolysis is performed above a certain temperature (often >= 30-50 °C).,"temperature_setpoint_or_temperature_ramp_optimization and change_of_base - operate at lower temperatures (<= 30 °C) and/or switch to a milder base (e.g., KOH in MeOH, LiOH) to preserve chiral integrity.","A temperature-screen (10 °C -> 75 °C) with constant base loading identified 30 °C as the threshold below which racemisation of the α-chiral ester was < 1 % ee loss. The process was then transferred to a jacket-cooled flow reactor maintaining 28 °C, achieving > 99 % ee at production scale.","When low temperature is required, reaction time may increase; this can be compensated by modestly increasing base concentration or using a more reactive solvent (e.g., MeCN) to retain throughput.",14994,scaleup_generalized_workflow_reaction_class_Ester_hydrolysis_runreaction_class_r11.json,250
Esterification,reaction_class,3,1,Temperature spikes / exotherm runaway,"Sudden, uncontrolled rise in reactor temperature (ΔT > 30 °C) during reagent addition or when the reaction is heated.","temperature_setpoint_or_temperature_ramp_optimization, change_of_addition_order_or_feed_profile, improved_heat_transfer_or_temperature_control_hardware, change_of_catalyst_or_ligand_identity - controlling the addition rate, lowering the set-point, improving heat removal, or switching to a less-exothermic catalyst can keep the temperature within a safe window.","A Design-of-Experiments (DoE) study varying (i) addition rate of the most exothermic reagent (e.g., benzoyl chloride, thionyl chloride, dimethyl sulfate), (ii) reaction temperature set-point (0 °C -> 30 °C), and (iii) catalyst choice (Fe(OTf)₂ vs H₂SO₄). Each condition was run in a 5 L jacketed reactor equipped with a calibrated PID controller and external heat-exchange coils. Temperature profiles, conversion, and impurity levels were recorded.","* In cases where the exotherm is intrinsic (e.g., thionyl-chloride gas evolution), a semi-batch feed with a mass-flow controller was essential. 
* For highly exothermic polymer-forming polycondensations, the optimal temperature was lowered to 50 °C while raising catalyst loading to maintain rate.","632, 634, 645, 15161, 15162, 15163",scaleup_generalized_workflow_reaction_class_Esterification_runreaction_class_r7.json,250
Esterification,reaction_class,3,2,Viscous slurry / poor mixing,"The reaction mixture becomes a thick, non-Newtonian slurry that is difficult to stir; uneven colour or incomplete conversion is observed across the vessel.","improved_mixing_or_impeller_design, temperature_setpoint_or_temperature_ramp_optimization, solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition - a higher-speed, high-shear impeller, modest temperature elevation to lower viscosity, or switching to a lower-viscosity solvent/cosolvent can restore homogeneous mixing.","A pilot-scale study comparing three impeller types (Rushton turbine, pitched-blade, and helical ribbon) at 300 rpm, 600 rpm, and 900 rpm. Parallel runs were performed at 25 °C and 50 °C (the latter to reduce viscosity of NBP or N-butyl-pyrrolidinone). Mixing homogeneity was quantified by tracer dye dispersion time and conversion after 2 h.","* For resin loadings, a brief pre-heat to 50 °C in NBP reduced water-induced hydrolysis while keeping the resin stable. 
* In polymerisations, a low-shear impeller combined with a recirculation loop prevented dead zones.","17164, 19465, 19200, 1766, 1768, 1769, 19201, 19202, 19809",scaleup_generalized_workflow_reaction_class_Esterification_runreaction_class_r7.json,250
Esterification,reaction_class,3,3,Solubility limits -> precipitation / clogging,"Solid precipitates appear during the reaction or feed, causing blockages in pumps, filters, or flow-reactor channels; the reaction mixture turns cloudy or forms a slurry that settles.","solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition, clogging_or_fouling_mitigation, custom_or_novel_reactor_design - selecting a more polar aprotic solvent (DMAc, MeCN, 2-MeTHF), adding a co-solvent, or moving to a reactor that tolerates slurries (e.g., ICHeM bead-mechanochemistry) mitigates precipitation.","A solubility screening DoE was performed for the problematic substrate (e.g., azelaic acid, pinacol boronic ester) in binary solvent systems (MeOH/MeCN, MeOH/MTBE, MeOH/2-MeTHF) at 25 °C, 40 °C, and 60 °C. The highest single-phase concentration that remained clear for >=4 h was selected for scale-up. In flow, a 0.5 % w/w surfactant (Pluronic F-127) was added to the feed to keep particles suspended, and pressure-drop monitoring was used to verify clog-free operation.","* For polymerising glycerol-citrate, a 0.5 % water-in-oil emulsion was deliberately formed to keep the polymer dispersed. 
* In the azelaic-acid flow case, the reaction was transferred to a conventional batch reactor to avoid the clogging altogether.","640, 642, 643, 644, 645, 14925, 2466, 14946, 14947, 14948",scaleup_generalized_workflow_reaction_class_Esterification_runreaction_class_r7.json,250
Esterification,reaction_class,3,4,"Impurity / side-product formation (over-acylation, dibenzoylation)","Significant amounts (>=5 %) of an undesired by-product appear (e.g., dibenzoylated ester, diastereomeric side-product, alkyl sulfonate impurity) as detected by HPLC or NMR, reducing isolated purity and requiring extra chromatography.","change_of_additive, solvent_change_to_reduce_side_products, optimization_of_reagent_stoichiometry, change_of_acid, change_of_base - limiting the amount of acyl chloride, adding a phase-transfer catalyst, lowering temperature, or switching to a milder base can suppress the side-reaction pathway.","A step-wise addition study where the acyl chloride (or benzoyl chloride) was fed in three portions (0.8 eq -> 1.2 eq -> 0.4 eq) while monitoring impurity formation by in-line IR. Parallel runs compared DMF (high polarity) vs toluene (low polarity) as solvent, and evaluated the effect of adding a catalytic amount of tetrabutylammonium-hydrogensulfate. Impurity levels were quantified after work-up.","* For sulfonate-impurity concerns, the reaction pH was kept > 2 by using a buffered system, eliminating the driving force for alkyl-sulfonate formation. 
* In cases where the impurity is a diastereomer, a crystallisation-antisolvent optimisation (cold EtOAc/hexane) was introduced to selectively precipitate the desired isomer.","2932, 2934, 16547",scaleup_generalized_workflow_reaction_class_Esterification_runreaction_class_r7.json,250
Esterification,reaction_class,3,5,Gas evolution / pressure buildup,"Rapid pressure increase (ΔP > 0.5 bar within minutes) or venting of corrosive gases (SO₂, HCl, NOₓ) is observed during reagent addition or quench.","change_of_addition_order_or_feed_profile, pressure_or_gas_headspace_optimization, custom_or_novel_reactor_design, thermal_runaway_mitigation_or_quench_safety_modification - slowing the addition, using a vent-rated reactor with a gas-scrubber, or redesigning the reactor (e.g., sealed flow loop with back-pressure regulator) mitigates pressure spikes.","A scale-up trial in a 10 L stainless-steel reactor equipped with a calibrated pressure transducer. The thionyl-chloride feed was split into three equal portions over 30 min (vs a single charge). Gas-scrubbing with aqueous NaHCO₃ was installed on the vent line. Pressure profiles, gas composition (by FTIR), and conversion were recorded. A parallel run used a continuous-flow microreactor with a back-pressure regulator set to 1 bar.","* For nitrite formation, a static-mixing element was added to the flow loop to avoid bulk back-mixing and limit local NO release. 
* In polymerisation of glycerol-citrate, the reactor jacket was pre-cooled and a nitrogen blanket maintained to suppress vapor pressure of water.","15161, 15162, 15163",scaleup_generalized_workflow_reaction_class_Esterification_runreaction_class_r7.json,250
Hydroamination,reaction_class,3,1,Pressure-drop spikes,"Sudden, reproducible spikes or drops in pressure across the catalyst bed or reactor (e.g., during feed-stock changes).","temperature_setpoint_or_temperature_ramp_optimization, pressure_or_gas_headspace_optimization, custom_or_novel_reactor_design, improved_mixing_or_impeller_design - Controlling temperature reduces exotherm-driven pressure surges; optimizing headspace pressure and using reactors with inert-lined, well-packed beds eliminates mechanical bed-compression variability; improved mixing prevents channeling.","A DoE varying inlet temperature, feed-pump ramp-rate, and reactor headspace pressure was run on a pilot-scale packed-bed (Raney Ni 3111A). An external FLIR camera replaced the invasive temperature probe (see entry 20354) to avoid channeling. The optimal condition (inlet 36 °C, slow pump ramp, stainless-steel reactor with PTFE liner) eliminated pressure spikes in three consecutive 2-h runs.","The symptom is more pronounced when switching feed bottles or when catalyst particles are fine (Raney Ni, Pd/C). Monitoring pressure-drop in real time and correlating with feed events is a simple early-warning diagnostic.","20356, 20353, 20354, 20355",scaleup_generalized_workflow_reaction_class_Hydroamination_runreaction_class_r17.json,139
Hydroamination,reaction_class,3,2,Temperature spikes / hot spots,"Rapid, uncontrolled temperature rise (>=5-10 °C) during reagent addition, quench, or exothermic hydrogen uptake.","temperature_setpoint_or_temperature_ramp_optimization, improved_heat_transfer_or_temperature_control_hardware, thermal_runaway_mitigation_or_quench_safety_modification - Lowering addition temperature, using external cooling jackets, and implementing controlled addition rates prevent hot-spot formation.","A controlled-addition study using a syringe pump to deliver the amine over 45 min at 5 °C while the reactor was jacketed at 0 °C (entry 964). Temperature was logged with an external probe; the peak rise was limited to 2 °C versus >12 °C in the batch addition. Product impurity F fell below detection, and yield improved by 8 %.","Even modest temperature spikes (2 °C) can accelerate side-reactions in sensitive substrates (e.g., oxime reductions). Installing temperature interlocks and pressure relief valves (entries 5688, 13592) further mitigates risk.","964, 5688, 9049",scaleup_generalized_workflow_reaction_class_Hydroamination_runreaction_class_r17.json,139
Hydroamination,reaction_class,3,3,Catalyst attrition / fouling,"Generation of fine catalyst particles (fines) that increase pressure drop, cause clogging, or deposit on reactor hardware.","change_of_catalyst_or_ligand_identity, clogging_or_fouling_mitigation, improved_mixing_or_impeller_design, custom_or_novel_reactor_design - Switching to mechanically robust catalysts (e.g., Pd(OH)₂/Al₂O₃, 3111A Raney Ni) or using larger-particle supports reduces attrition; redesigning impellers or lowering oscillatory velocity prevents particle lift-off; employing wet-catalyst formulations (entry 9046) lowers dust hazards.",A side-by-side comparison of 10 % Pd/C (dry) vs. 10 % Pd(OH)₂/Al₂O₃ (500 µm) in a continuous-flow packed-bed. Pressure-drop monitoring showed a stable ΔP of 0.8 bar for the alumina-supported catalyst versus a rising ΔP up to 3.5 bar for dry Pd/C after 4 h. No fouling observed with the alumina catalyst.,"Catalyst choice should consider both activity and mechanical integrity. For reactions requiring high metal loadings, wet-catalyst handling (entry 9046) also improves safety.","20356, 966, 7096",scaleup_generalized_workflow_reaction_class_Hydroamination_runreaction_class_r17.json,139
Hydroamination,reaction_class,3,4,Poor solubility / slurry formation,"Heterogeneous slurries or precipitates appearing during reagent addition or reaction (e.g., catalyst or substrate precipitation).","solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition, phase_behavior_or_biphasic_system_optimization, slurry_handling_or_particle_size_optimization - Switching to more polar/co-solvent systems (DMA, MeOH) or adding a small water fraction improves dissolution; redesigning the biphasic system avoids phase-separation; controlling particle size of solids (e.g., using fine powders) ensures stable suspensions.","A solvent-screening DoE for the calcium-amide hydroamination replaced THF with DMA/DMF (1:1) and added 5 % water. The catalyst remained fully dissolved, conversion rose from 45 % (THF) to >90 % at identical temperature, and no slurry was observed on a 10 L scale.","When a solid intermediate must be isolated (e.g., intermediate 3), a rapid, low-temperature quench with controlled water addition (entries 5688, 5687) prevents localized boiling and precipitation.","958, 966, 5373",scaleup_generalized_workflow_reaction_class_Hydroamination_runreaction_class_r17.json,139
